Numéro d'image,Caractéristique[Gabor][DCT][Fourier][PHOG],Étiquette
22,"['[[0.44207575373510033, 0.06112336474701257], [0.13514494503357044, 0.005736214178939427], [0.29821006965736657, 0.02764043931286868], [0.0004448188186038783, 1.9840761132730502e-06], [0.4420796760307176, 0.06112454168671172], [0.1353342813084858, 0.005751055122319903], [0.3007925696137135, 0.028106781293865322], [7.164380958782524e-05, 1.1799925340132876e-06], [0.44207575373510055, 0.061124454411013524], [0.13514494503357047, 0.005742521087520377], [0.29821006965736707, 0.02764510163575693], [0.0004448188186038786, 3.4952202901794813e-06], [0.4420796760307182, 0.06112540489785322], [0.13533428130848582, 0.005754064444123787], [0.30079256961371353, 0.028120618392065387], [7.164380958782521e-05, 1.3989940001932943e-06]]', '[855.4112285969048, -20.442537483588506, -310.2874242580509, 38.25665421522305, -90.95454520886094, -30.572473076397497, -180.13324860781447, 0.42448134449704766, -40.82412988358841, 7.474239529644009, -39.906796294180445, 18.54969288769242, 5.321599080402153, 9.07815860853033, 16.78856295682217, 3.7342358213461537, 18.28048812707877, -0.1463004953262276, 15.58163042165331, -14.834530763086589]', '[56843.4369819697, 58623.47429954053, 58623.47429954054, 67503.45956903163, 67503.45956903166, 73596.83508262748, 73596.8350826275, 89575.25860737056, 89575.25860737058, 97152.16754196094, 97152.16754196094, 103773.35259504252, 103773.35259504254, 127679.50535407012, 127679.50535407012, 235688.69795062623, 235688.69795062623, 406348.7364415624, 406348.7364415624, 1574948.4392156862]']",0
21,"['[[0.5066432795967729, 0.05478058650109885], [0.15488358634063937, 0.00514002704833441], [0.34176524367930755, 0.02475592247077671], [0.0005097869837459416, 2.424314492929018e-06], [0.5066477747646212, 0.05478335444878154], [0.15510057619013742, 0.0051574954377875066], [0.3447249315526808, 0.025200925136732312], [8.210777077390392e-05, 1.159348180669061e-06], [0.5066432795967722, 0.054784414403101084], [0.15488358634063934, 0.005157206741717174], [0.34176524367930766, 0.024803156934694624], [0.0005097869837459415, 5.852445473881934e-06], [0.5066477747646214, 0.05478352571420375], [0.15510057619013742, 0.005158562727358311], [0.3447249315526811, 0.025201521033892827], [8.210777077390406e-05, 1.3321767375237193e-06]]', '[1034.9989071659413, -51.991056911112736, -282.5690997317583, 25.903791261289207, -63.10612443554069, -11.51543600196751, -175.53973252355888, 10.214315924850384, -72.53865595026483, 24.213338926777112, -45.04438793510754, 27.45266624260933, 3.119336165163458, 20.82679569517046, 18.741114314684232, 12.320865265926784, 2.023402463833817, -6.631221391673036, 9.449873640967361, -9.5994588252215]', '[86800.87126168914, 88769.3286260171, 88769.32862601714, 95984.41473858907, 95984.41473858907, 102512.2960331073, 102512.29603310734, 103694.86113368352, 103694.86113368355, 106093.27769531662, 106093.27769531665, 111031.34801987305, 111031.34801987308, 144027.85505369035, 144027.85505369035, 243805.90720897884, 243805.90720897884, 396515.21883831266, 396515.2188383127, 2011827.0313725485]']",0
8,"['[[0.48376604695636144, 0.0594970366604878], [0.14788989279018694, 0.005586982980735316], [0.32633299913383407, 0.026896321927150472], [0.0004867677986627182, 2.748197082684623e-06], [0.4837703391470773, 0.05949818322540262], [0.14809708456781184, 0.005600472454782638], [0.3291590437304696, 0.027355169449743068], [7.840023403311248e-05, 1.1454885692120378e-06], [0.4837660469563617, 0.059497826274315796], [0.1478898927901869, 0.005592007458451914], [0.3263329991338339, 0.026898673274526226], [0.0004867677986627188, 4.005963050959476e-06], [0.48377033914707684, 0.05949874298405439], [0.14809708456781176, 0.00560308967253348], [0.32915904373046984, 0.027356696327080345], [7.840023403311252e-05, 1.5380748355299792e-06]]', '[669.6910330710701, -14.66106370443006, -250.91003958026772, 2.5752798459975415, -85.9565579898416, -0.0978447864234116, -104.26859444451975, -1.454878599452305, -29.39487288991557, 2.8216797949871406, -17.16195156846497, -9.291002122096828, 1.1247902676910542, -4.376749568228186, 6.052902730044799, -0.003186667999199785, 7.545120809752186, 1.429793755274976, 6.597169155321433, 5.368634626610083]', '[27522.68563373583, 29132.962645818297, 29132.9626458183, 31175.720602526984, 31175.72060252699, 31291.373950595796, 31291.3739505958, 35511.96932096426, 35511.969320964265, 35843.08708759281, 35843.08708759281, 70845.01203953683, 70845.01203953683, 80098.72674212535, 80098.72674212536, 97125.09177063695, 97125.09177063698, 234040.8134022481, 234040.8134022482, 882118.0862745096]']",0
9,"['[[0.39390441004482574, 0.04400286734528356], [0.12041870515225724, 0.004146091808228815], [0.26571523220927257, 0.01977165112158172], [0.00039634857338045627, 2.038318000705729e-06], [0.39390790494253974, 0.04400392839491568], [0.1205874101604837, 0.004156113025003167], [0.2680163267912548, 0.02010622098892117], [6.383705125336145e-05, 1.5484020700161059e-06], [0.3939044100448259, 0.04400393945757912], [0.12041870515225721, 0.00415165552433711], [0.2657152322092727, 0.01978167362071746], [0.0003963485733804559, 3.496364608008532e-06], [0.39390790494253997, 0.044004392870755187], [0.12058741016048373, 0.004158548514572709], [0.26801632679125476, 0.0201083169963254], [6.38370512533615e-05, 1.7740922761780612e-06]]', '[359.3399434504315, 8.63928124474406, -136.51254245424022, 9.31911831960602, -38.08917871888497, -2.8153462625601655, -59.77605530243866, -10.465588120995992, -11.431022222480676, -3.9733821644759937, -5.031033012530689, 2.620569506442976, -0.020329608977779308, -2.1640588069125712, -3.002006471558791, 4.497725352626522, 2.0584051967451744, -3.775789347392662, 2.349689626217452, 3.3287784063990182]', '[10929.873334763883, 11224.104961102783, 11224.104961102783, 11530.546873907642, 11530.546873907644, 12694.674811237293, 12694.674811237295, 15894.293116583163, 15894.293116583172, 20528.13132518901, 20528.131325189017, 21458.159884695797, 21458.159884695797, 24718.633645861122, 24718.633645861126, 37113.83950619564, 37113.83950619564, 83817.5289427786, 83817.5289427786, 311912.86666666664]']",0
20,"['[[0.4765839704930921, 0.038380600538874377], [0.14569429323365246, 0.0036191322940685505], [0.32148820159789043, 0.01726542264643864], [0.0004795411576616639, 3.6574817502204854e-06], [0.4765881989611833, 0.038381542393922025], [0.14589840900542936, 0.003626195777094521], [0.32427229023562987, 0.017562234764534827], [7.723629026503124e-05, 1.5609655523186584e-06], [0.47658397049309204, 0.03838136672573343], [0.14569429323365238, 0.0036222636924657377], [0.3214882015978905, 0.017273492183456418], [0.00047954115766166323, 3.930549690575206e-06], [0.47658819896118365, 0.03838173705798525], [0.14589840900542936, 0.0036280834370127257], [0.3242722902356301, 0.017556987547299525], [7.723629026503128e-05, 1.9790798631559127e-06]]', '[593.7437723403591, -0.8945294025835429, -179.02517270966143, 10.887553770500691, -40.34998876127905, -0.8968336970744495, -66.02618845017247, -10.628658303961991, -40.29221682516534, 5.374457993205798, -29.186070558077624, -2.9390756769682618, -9.426020844463585, -7.466213439500917, -4.926151588240671, -3.2676198671487464, -2.992392240069371, -2.486072550129764, 4.5224977776263735, 2.0344727213222367]', '[21514.98988631596, 22937.507449368553, 22937.507449368553, 24465.111303227593, 24465.111303227593, 24930.010457580713, 24930.01045758072, 27405.82904137821, 27405.82904137821, 34328.600076067545, 34328.600076067545, 34808.688320169465, 34808.688320169465, 44321.9554315106, 44321.95543151061, 55793.19460909305, 55793.19460909305, 150134.61073200818, 150134.61073200818, 703836.6]']",0
18,"['[[0.39636826072499615, 0.05861472359622776], [0.1211719176094645, 0.005507766171216025], [0.2673772665478475, 0.02638736989236052], [0.0003988277121694761, 2.553264390268898e-06], [0.39637177748310576, 0.058617681630860535], [0.12134167785834994, 0.00552674548174192], [0.26969275435139867, 0.026855466911264617], [6.423634854006321e-05, 1.2702450044624301e-06], [0.3963682607249964, 0.05861909246008594], [0.12117191760946439, 0.005528329113520306], [0.2673772665478475, 0.026439113589598436], [0.0003988277121694757, 7.055013042474416e-06], [0.3963717774831056, 0.05861813279086958], [0.12134167785835008, 0.005528889329121458], [0.2696927543513987, 0.026858891208391942], [6.423634854006324e-05, 1.5706851090136465e-06]]', '[558.8843911594348, -7.448871152968351, -238.56845580672282, 19.573767226424078, -49.2776756241001, -10.83271217578923, -100.46910719112951, -2.191717879327718, -6.046011956122006, 6.839269578336304, -7.80628119645889, 12.433678143642389, 10.00518368891969, 6.024893255191051, 14.636833721474812, 11.776298117865283, 1.571825508209212, -3.338365620999449, 10.542915213291852, -2.957279941019493]', '[30648.317388315598, 37023.711380946595, 37023.711380946595, 38982.75705085383, 38982.757050853834, 39383.62978965897, 39383.629789658975, 39925.709568121834, 39925.709568121834, 46676.87749577427, 46676.87749577427, 49073.48872402314, 49073.48872402314, 49398.500502803276, 49398.500502803276, 95431.08532542388, 95431.08532542389, 226799.9292583732, 226799.9292583732, 749822.094117647]']",0
19,"['[[0.44517489719156383, 0.06163383921045021], [0.1360923699229388, 0.005778311628423257], [0.30030065204787665, 0.027893050058693317], [0.00044793719213904846, 1.7402955340288728e-06], [0.4451788469841807, 0.06163595042196371], [0.13628303352755375, 0.005796074041458452], [0.3029012564530047, 0.028380668740804395], [7.21460638775124e-05, 8.667378366067704e-07], [0.44517489719156383, 0.061636158802862315], [0.13609236992293872, 0.005789938059682337], [0.3003006520478772, 0.027916796344107125], [0.00044793719213904906, 4.3171683613784025e-06], [0.4451788469841805, 0.06163618373973331], [0.13628303352755378, 0.005797267132087563], [0.30290125645300486, 0.028382044802253755], [7.214606387751245e-05, 1.0360588078127625e-06]]', '[1018.0105793605676, 18.06373045327738, -311.96025273907355, 37.481987544018494, -67.77935406396203, 1.3811903795694607, -227.53749936652588, -8.746767062976463, -86.43754570260359, 11.248643895747396, -78.88273315190732, -20.330379953286076, -13.102731402269553, -17.978927861601093, 3.200468181748335, -7.567623997553483, 14.118727854941335, -14.996046888675814, 26.782376110254813, 1.8468445101049409]', '[117341.21685013275, 122365.2596477864, 122365.2596477864, 129907.81004443852, 129907.81004443852, 133113.5539845452, 133113.55398454523, 137111.55513205478, 137111.5551320548, 139620.17647542458, 139620.17647542464, 141629.9458434562, 141629.94584345623, 270163.36893413356, 270163.3689341336, 351730.0133777403, 351730.0133777403, 479996.8732993716, 479996.8732993717, 2215067.9764705882]']",0
17,"['[[0.5262573948533938, 0.045720715947706596], [0.16087972728671468, 0.004292135073539853], [0.35499629430247676, 0.020524558532845714], [0.0005295228039140815, 2.095633110568192e-06], [0.5262620640465264, 0.045726404313178814], [0.16110511765012286, 0.004317137702260867], [0.3580705631076606, 0.02091576463121422], [8.528647923462874e-05, 7.157519570603221e-07], [0.5262573948533937, 0.045731037634433674], [0.16087972728671474, 0.004341888671179434], [0.35499629430247653, 0.02062869117258233], [0.0005295228039140815, 1.3623137390438222e-05], [0.5262620640465261, 0.04572682572917704], [0.16110511765012275, 0.0043190591524496095], [0.3580705631076604, 0.0209190086070824], [8.52864792346288e-05, 9.4940701416458e-07]]', '[1042.2617323866193, 3.4674104024926673, -215.71688868859684, 26.98805124102057, -5.642830445378824, -37.380424855066295, -116.53938100353764, -0.7383141690806061, -70.13382169823801, 15.501258958563469, -62.378726975565264, 0.8950629386274942, -37.33127638893921, -10.667644607315061, -20.085468828503714, -17.980852998103373, -17.210927687063155, -10.378031597146457, -1.7778068176350446, -21.99943175497998]', '[78015.09252247562, 83665.6200109493, 83665.6200109493, 85108.02398040431, 85108.02398040431, 94461.12904298982, 94461.12904298982, 102275.09387238785, 102275.09387238788, 116753.14493527747, 116753.14493527747, 132382.1114253866, 132382.11142538663, 136496.96081547, 136496.96081547003, 157007.55147476136, 157007.55147476136, 287561.8379191824, 287561.8379191824, 1964122.2549019605]']",0
2,"['[[0.49154329228478866, 0.05123616615314012], [0.1502674386825878, 0.004812010624667935], [0.331579278423158, 0.023092184451527418], [0.0004945933015312983, 1.976281443184316e-06], [0.49154765347873575, 0.05123862338841171], [0.15047796137046324, 0.0048284023150085495], [0.33445075581168865, 0.023499345826587734], [7.966063223120404e-05, 1.1302214841425192e-06], [0.49154329228478916, 0.051240022046045657], [0.15026743868258785, 0.0048301086209715915], [0.3315792784231581, 0.02313725001910397], [0.0004945933015312986, 5.911616308666673e-06], [0.4915476534787356, 0.05123931426131899], [0.1504779613704631, 0.004830975768085416], [0.33445075581168854, 0.0235089928013054], [7.966063223120399e-05, 1.333937784278261e-06]]', '[855.5200331090981, -20.076793815535694, -207.98319991343655, 22.440455219373217, -3.5702634617160447, -4.744945123145328, -135.80266471440183, -6.093522421891836, -54.53284509128309, 10.156191190193965, -70.13668238886393, -1.979356878843439, -41.09729260530655, -1.2760336135749644, -24.15691836375894, -3.834465454039865, -15.88854923682797, -8.506080263901573, 7.48787373313615, 1.3385495666876315]', '[56503.38178000515, 62394.13152873571, 62394.13152873571, 64032.2630681735, 64032.26306817351, 64828.25196844735, 64828.25196844738, 82576.54337930548, 82576.5433793055, 85603.2361724502, 85603.23617245023, 86851.67008013104, 86851.67008013107, 94742.33999675588, 94742.3399967559, 159033.9872300393, 159033.98723003932, 245707.52564433348, 245707.52564433348, 1416810.4]']",0
3,"['[[0.4590926919111125, 0.05147180057319732], [0.14034711492188964, 0.004838638396564702], [0.3096891482450256, 0.02323072212731176], [0.00046194134629682336, 2.4718962700772187e-06], [0.45909676518868614, 0.051472424169094845], [0.14054373936779713, 0.004849069873477512], [0.312371057050931, 0.023613613167633343], [7.440161357989967e-05, 1.1776520302505062e-06], [0.4590926919111128, 0.05147216761725007], [0.14034711492188975, 0.0048420958700551905], [0.30968914824502564, 0.023221291590457865], [0.00046194134629682347, 3.699621129231381e-06], [0.45909676518868603, 0.05147332499073533], [0.14054373936779724, 0.004852624461863036], [0.312371057050931, 0.023624781619976686], [7.440161357989973e-05, 1.6003884800213646e-06]]', '[615.2051958551118, -52.25023332325615, -208.23390913716878, 7.952683818099085, -46.58813754710024, -35.58708242929977, -85.94628560902068, 12.255040028287649, -41.45647803661083, 9.49917498845172, -36.46737179550979, 17.07578069654467, -15.986521810613041, 9.573913344606977, -5.276939484519616, 12.59810534466932, -3.103350163202797, 14.90154769773627, 6.823125171933691, 2.3684316589303656]', '[31155.969691235805, 31482.300479033976, 31482.30047903398, 36101.849395450095, 36101.849395450095, 40898.395657580506, 40898.39565758051, 41122.41327609952, 41122.41327609952, 42147.57203827712, 42147.572038277125, 44151.92836510976, 44151.928365109765, 63466.340292849, 63466.34029284901, 87751.86667302162, 87751.86667302165, 192247.22689827363, 192247.22689827363, 784427.3960784313]']",0
